文件级检查错误代码定义表		
代码	描述	出错分析
00	校验成功                        	
01	接口文件名与规则不符            	接口校验文件中的数据文件名不符合接口规范。
02	接口数据文件不存在              	接口校验文件中指定的数据文件不存在。
03	接口数据文件无法打开	接口数据文件打开失败。
04	数据文件记录数与记录长度乘积错误	接口数据文件大小与校验文件中登记的数据文件记录数跟单元长度的乘积不符。
05	数据文件大小与校验文件不符	接口数据文件的大小与校验文件中登记的该数据文件的大小不符。
06	数据文件记录数与校验文件不符                  	接口数据文件的记录数与校验文件中登记的对应数据文件的记录数不符。
07	数据文件数据日期与校验文件不符                	接口数据文件的数据日期与校验文件中登记的对应数据文件的数据日期不符。
08	数据文件数据日期非法	接口数据文件的数据日期不是有效的YYYYMMDD或者YYYYMM格式。
09	数据文件省代码错误	省公司上传的接口数据文件的省代码不是该省的省代码。
10	数据文件接口单元非法抽取方式	接口数据文件的接口单元抽取方式(a/i/s/z)和周期(日/月)的组合与接口规范不符。
11	数据文件记录包含非法结束符	接口数据文件的结束符不是回车换行（ASCII：0x0D0A）。
12	数据文件大小超过2000000000Bytes	"接口数据文件大小超过最大允许2,000,000,000字节的限制。"
13	数据文件同名冲突重复上传	接口机上已存在该接口数据文件的（已通过文件级检查的）备份。
14	数据文件数据日期与期待日期不符	接口数据文件的数据日期与期待日期不符（此项检查对初始抽取也有效）。
15	数据文件初始抽取时禁止为空	数据文件初始抽取时不能为空文件。
16	校验文件记录格式错误	接口校验文件中记录的文件名、日期等字段的格式错误。
17	校验文件中出现重复数据文件名	接口校验文件中出现重复的接口数据文件。
18	数据文件记录长度错误                    	接口数据文件中存在某一行记录的长度与接口单元的规定长度不符。
19	修正数据文件数据日期超前	修正接口数据文件的数据日期必须小于当前期待日期。
20	修正数据文件数据日期不能跨月	修正接口数据文件的数据日期必须与当前期待日期的月份相同。
21	数据文件接口单元重复初始抽取	接口数据文件的接口单元重复初始抽取（已通过初始的单元不能重复初始）。
22	数据文件特定单元抽取禁止为空	特定接口单元日常抽取的数据文件不允许为空。
23	数据文件重传序号错误	接口数据文件的重传序号与校验文件不一致。
24	数据文件数据日期超前	接口数据文件的数据日期必须小于系统日期（月数据日期必须小于当月）。
		
		
86	校验文件数据日期超前	接口校验文件的数据日期必须小于系统日期（月数据日期必须小于当月）。
87	校验文件接口单元重复初始抽取	接口校验文件的接口单元重复初始抽取（已通过初始的单元不能重复初始）。
88	校验文件接口单元尚未初始抽取	接口校验文件的接口单元未传初始先传正常。
89	校验文件接口单元禁止修正	接口校验文件的接口单元不允许上传修正数据。
90	修正校验文件数据日期不能跨月	修正接口校验文件的数据日期必须与当前期待日期的月份相同。
91	修正校验文件数据日期超前	修正接口校验文件的数据日期必须小于当前期待日期。
92	校验文件数据日期与期待日期不符	接口校验文件的数据日期与期待日期不符（此项检查对初始抽取也有效）。
93	校验文件同名冲突重复上传	接口机上已存在该接口校验文件的（已通过文件级检查的）备份。
94	校验文件接口单元非法抽取方式	接口校验文件的接口单元抽取方式(a/i/s/z)和周期(日/月)的组合与接口规范不符。
95	校验文件记录包含非法结束符	接口校验文件的结束符不是回车换行（ASCII：0x0D0A）。
96	校验文件省代码错误	省公司上传的接口校验文件的省代码不是该省的省代码。
97	校验文件数据日期非法	接口校验文件的数据日期不是有效的YYYYMMDD或者YYYYMM格式。
98	校验文件记录长度错误	接口校验文件的记录长度（包括回车换行）不等于104字节（禁止为空）。
99	校验文件无法打开                	接口校验文件打开失败。
		
注意:		
1）	接口校验文件出错时，不再对校验文件中记录的每一个数据文件生成对应的文件级校验报告，只产生一个000序号的文件级校验报告。	
2）	联调初始抽取阶段不必上传正常抽取数据；正常抽取阶段若有些单元未通过初始抽取检查或未准备好数据，仍可以上传它们的初始数据。	
3）	对于要求初始抽取的接口单元，在通过初始抽取检查之前，不允许上传该单元的正常抽取数据；初始通过后，不允许重复上传该单元的初始数据。	
4）	上传文件时，应按照“先数据文件，后校验文件”的原则进行，同时文件都必须遵循改名规则（先传.tmp文件成功后改名，或先传到临时目录再改名到正式目录的方式）。	
5）	重传接口文件时，重传序号必须加一，以防同名文件冲突导致重复上传。	
6）	通过序列号对数据文件拆分时，应遵循在2000000000字节（包含）内尽量生成大文件的规则，保证数据文件的序列不会太长，即数据文件不要分的太小太多。	
7）	02008接口单元初始抽取的记录长度是42，正常抽取的记录长度是34。	
8）	业务指标校验文件，省端不做文件级检查，直接上传。如果省分需要重传，需将重传序号加一。	
